label,text,msg_len,num_words,caps_ratio,num_digits,has_url,has_phone,clean_text
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,20,0.02702702702702703,0,0,0,go jurong point crazy available bugis great world la buffet cine got amore wat
0,Ok lar... Joking wif u oni...,29,6,0.06896551724137931,0,0,0,ok lar joking wif oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,28,0.06451612903225806,25,0,0,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate apply
0,U dun say so early hor... U c already then say...,49,11,0.04081632653061224,0,0,0,dun say early hor already say
0,"Nah I don't think he goes to usf, he lives around here though",61,13,0.03278688524590164,0,0,0,nah think go usf life around though
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Ã¥Â£1.50 to rcv",150,32,0.06,4,0,0,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.,77,16,0.025974025974025976,0,0,0,even brother like speak treat like aid patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,0.0625,1,0,0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
1,WINNER!! As a valued network customer you have been selected to receivea Ã¥Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,160,26,0.0875,19,0,1,winner valued network customer selected receivea prize reward claim call phone claim code kl valid hour
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,29,0.09090909090909091,13,0,1,mobile month entitled update latest colour mobile camera free call mobile update co free phone
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,21,0.01834862385321101,0,0,0,gonna home soon want talk stuff anymore tonight cried enough today
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,26,0.125,22,0,0,six chance win cash pound txt csh send cost day day tsandcs apply reply hl info
1,"URGENT! You have won a 1 week FREE membership in our Ã¥Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",158,26,0.26582278481012656,20,1,0,urgent week free membership prize jackpot txt word claim url lccltd pobox ldnw rw
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,37,0.015306122448979591,0,0,0,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,8,0.7428571428571429,0,0,0,date sunday
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,19,0.15436241610738255,0,1,0,xxxmobilemovieclub use credit click wap link next txt message click url xxxmobilemovieclub com qjkgighjjgcbl
0,Oh k...i'm watching here:),26,4,0.038461538461538464,0,0,0,oh watching
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,19,0.037037037037037035,1,0,0,eh remember spell name yes naughty make wet
0,Fine if thatÃ¥Ãs the way u feel. ThatÃ¥Ãs the way its gota b,62,13,0.0967741935483871,0,0,0,fine way feel way gota
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ÃÂ¼1.20 POBOXox36504W45WQ 16+",158,24,0.21518987341772153,23,0,0,england macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox wq
0,Is that seriously how you spell his name?,41,8,0.024390243902439025,0,0,0,seriously spell name
0,IÂÃÃ·m going to try for 2 months ha ha only joking,52,11,0.07692307692307693,1,0,0,going try month ha ha joking
0,So Ã_ pay first lar... Then when is da stock comin...,54,11,0.05555555555555555,0,0,0,pay first lar da stock comin
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,20,0.03409090909090909,1,0,0,aft finish lunch go str lor ard smth lor finish ur lunch already
0,Ffffffffff. Alright no way I can meet up with you sooner?,57,11,0.05263157894736842,0,0,0,ffffffffff alright way meet sooner
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,28,0.05555555555555555,0,0,0,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
0,Lol your always so convincing.,30,5,0.03333333333333333,0,0,0,lol always convincing
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,32,0.04477611940298507,0,0,0,catch bus frying egg make tea eating mom left dinner feel love
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,15,0.02666666666666667,0,0,0,back amp packing car let know room
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,12,0.078125,0,0,0,ahhh work vaguely remember feel like lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,26,0.007692307692307693,0,0,0,wait still clear sure sarcastic want live u
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,41,0.026455026455026454,2,0,0,yeah got apologetic fallen actin like spoilt child got caught till go badly cheer
0,K tell me anything about you.,29,6,0.034482758620689655,0,0,0,tell anything
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,17,0.023809523809523808,0,0,0,fear fainting housework quick cuppa
